,Guest House,Place,room,bed,Condition,price,Travel Sustainable Level,Rating,Total Reviews
199,Borgo Medievale,Castelmola,Suite,Beds: 1 double or 2 singles,Fabulous,US$117,,8.6,223 reviews
200,Charme & Chic Luxury,"Pantheon, Rome",Deluxe Room,1 large double bed,Very good,US$223,Travel Sustainable Level 1,8.4,520 reviews
201,Rinuccini Relais,Naples,Superior Double or Twin Room,Beds: 1 double or 2 singles,Superb,US$153,Travel Sustainable Level 3,9.3,451 reviews
202,SUITE 39,Molfetta,Superior Double Room,1 large double bed,Superb,US$133,,9.3,45 reviews
203,Casa San Tommaso,"Pisa City Centre, Pisa",Single Room,1 single bed,Very good,US$70,Travel Sustainable Level 1,8.2,"2,029 reviews"
204,L'Opera Rooms & Suite,La Spezia,Deluxe Double Room with Shower,1 large double bed,Fabulous,US$66,,8.8,"1,011 reviews"
205,Balbo - Suite & Apartment SIT,"Old Town, Lecce",Superior Suite,"Private suite • 1 bedroom • 2 living rooms • 1 bathroom • 592feet²3 beds (2 sofa beds, 1 large double)",Very good,US$83,,8.4,319 reviews
206,Palma Residences In Rome,Rome,Double Room,Beds: 1 double or 2 singles,Good,US$63,,7.3,815 reviews
207,La terrazza dei ciliegi,Santa Maria degli Angeli,Double Room with Balcony,1 large double bed,Superb,US$72,Travel Sustainable Level 1,9.1,233 reviews
208,Sweet House Self Check-in 24h,Cavallasca,Double Room with separated private bathroom,1 large double bed,Good,US$57,,7.8,643 reviews
