,Guest House,Place,room,bed,Condition,price,Travel Sustainable Level,Rating,Total Reviews
25658,Gregorio's Rooms,"Vaticano Prati, Rome",Double Room,1 large double bed,Fabulous,US$97,Travel Sustainable Level 1,8.9,199 reviews
25659,Le Corti del Re,"Plebiscito, Naples",Double or Twin Room,Beds: 1 double or 2 singles,Very good,US$80,Travel Sustainable Level 2,8.5,"1,477 reviews"
25660,Last Minute Ferrara,Ferrara,Triple Room with Shared Bathroom,"2 beds (1 single, 1 large double)",Very good,US$44,,8.5,538 reviews
25661,Sweet Home Pigneto Guest House,"Prenestino Labicano, Rome",Budget Double Room,1 double bed,Exceptional,US$85,Travel Sustainable Level 1,9.5,401 reviews
25662,Casa Genna,Isola delle Femmine,Double Room,1 large double bed,Good,US$85,,7.8,64 reviews
25663,KyS Castello - City Centre,"Castello, Cagliari",Deluxe Double Room,1 large double bed,Very good,US$62,,8.1,111 reviews
25664,La Boqueria,Bra,Standard Apartment,"Entire apartment • 1 bedroom • 1 bathroom2 beds (1 sofa bed, 1 large double)",Very good,US$77,,8.1,168 reviews
25665,Guest house Regina Margherita,Favara,Deluxe Room,1 single bed,Fabulous,US$48,,8.7,109 reviews
25666,Epoca Home,Cosenza,Double Room with Balcony,1 large double bed,Superb,US$61,,9.3,349 reviews
25667,Casa Astarita,"Sorrento City Centre, Sorrento",Double Room,1 large double bed,Superb,US$88,,9.3,342 reviews
25668,Affittacamere Antonio e Francesca,Staggia,Deluxe Room,1 large double bed,Very good,US$43,,8.3,203 reviews
25669,Dimora Marinucci,Termoli,Triple Room with Private Bathroom,1 double bed,Superb,US$58,,9.4,385 reviews
25670,Al Sandalyon,Quartu SantʼElena,Double Room with Sea View,1 large double bed,Superb,US$63,,9.0,338 reviews
25671,Primo Room,"City Centre, Catania",Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 592feet²1 large double bed,Very good,US$91,,8.0,137 reviews
25672,"In centro da Laura, Via Repubblica 49 BI",Biella,Double Room with Private Bathroom,2 large double beds,Fabulous,US$55,,8.9,92 reviews
25673,Raxul Room,Sestu,Triple Room with Balcony,"2 beds (1 single, 1 large double)",Very good,US$77,,8.4,320 reviews
25674,Al Campanile di San Daniele,San Daniele del Friuli,Deluxe Double Room with Shower,1 large double bed,Fabulous,US$69,,8.6,229 reviews
25675,Blue Sea,Posada,Double Room with Private Bathroom,1 double bed,Superb,US$53,,9.4,165 reviews
25676,Il Torrino,Galatina,Deluxe Twin Room,2 single beds,Very good,US$52,,8.3,120 reviews
25677,La Meta Perfetta Rooms&Spa,Meta,Double Room with Balcony,1 large double bed,Exceptional,US$69,,9.5,69 reviews
25678,Km 119,Modugno,Double Room with Private Bathroom,1 double bed,Good,US$41,,7.1,103 reviews
25679,About Italy Holiday Rooms and Apartments,Portovenere,Double Room,1 large double bed,Very good,US$86,,8.2,673 reviews
25680,Vista Mare Guest House,Civitanova Marche,Double Room with Sea View,"2 beds (1 double, 1 sofa bed)",Superb,US$55,,9.1,65 reviews
25681,Il Seminario,Alba,Single Room,1 single bed,Very good,US$53,,8.5,551 reviews
25682,Ai Cerri di Remí,Lauria,Double Room with Private Bathroom,1 double bed,Fabulous,US$64,,8.7,53 reviews
25683,Abraxia Guest House,Comiso,Deluxe Single Room,1 single bed,Very good,US$45,,8.4,92 reviews
25684,Foresteria Crotasc,Mese,Double Room,1 large double bed,Superb,US$128,,9.4,102 reviews
25685,Firenze Suite,"San Marco - Santissima Annunziata, Florence",Deluxe Double Room,1 large double bed,Superb,US$105,,9.3,297 reviews
25686,Bottega Orafa Guest House,"Plebiscito, Naples",Quadruple Room,"2 beds (1 double, 1 extra-large double)",Fabulous,US$77,,8.7,85 reviews
25687,Tiber Rooms Testaccio,"Aventino, Rome",Double Room with Private Bathroom,1 large double bed,Superb,US$95,,9.2,97 reviews
25688,Carducci 49,"Old Town, Mantova",Deluxe Room,1 large double bed,Very good,US$62,,8.3,323 reviews
25689,KayDee GuestHouse,"Central Station, Rome",Comfort Room,1 double bed,Good,US$48,,7.3,297 reviews
25690,Sweet Home Faleria,"San Giovanni, Rome",Deluxe Double Room,"2 beds (1 sofa bed, 1 large double)",Fabulous,US$70,,8.8,122 reviews
25691,BeachFront Rooms Marina di Ragusa,Marina di Ragusa,Family Room with Private Bathroom,"3 beds (2 singles, 1 double)",Very good,US$53,,8.5,284 reviews
25692,Ai Giudici,"La Kalsa, Palermo",Double Room with Private Bathroom,1 large double bed,Superb,US$61,,9.0,43 reviews
25693,Royal Palace Gate,San Nicola La Strada,Quadruple Room with Private Bathroom,"3 beds (2 singles, 1 large double)",Review score,US$36,,6.8,63 reviews
25694,Guest House Service - Express Airport Apartment,Modugno,Standard Double Room,Multiple bed types,Good,US$58,,7.6,152 reviews
25695,The Boutique Napoli Suite,"Plebiscito, Naples",Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,643 reviews
25696,Kleine,Gressoney-Saint-Jean,Quadruple Room with Private Bathroom,"2 beds (1 bunk bed, 1 large double)",Good,US$107,,7.7,191 reviews
25697,La Pergola,Vezzano Ligure,Single Room with Shared Bathroom,1 single bed,Very good,US$42,,8.1,493 reviews
25698,Ai Senatori,"Vaticano Prati, Rome",Deluxe Triple Room,"2 beds (1 sofa bed, 1 large double)",Very good,US$128,,8.2,135 reviews
25699,Il Carro Comfortable Rooms,San Giovanni Gemini,Twin Room with Balcony,2 single beds,Exceptional,US$59,,9.5,51 reviews
25700,Dimora San Gregorio Luxury Rooms,"Monte di Pietà, Palermo",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Exceptional,US$74,,10.0,4 reviews
25701,Guest House Foligno Porta Romana,Foligno,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 645.8feet²2 large double beds,Superb,US$96,,9.2,233 reviews
25702,La Rocca Guest House & Spa,Montefalco,Double Room,1 large double bed,Fabulous,US$91,,8.9,187 reviews
25703,Masseria D'Aprile,Castellaneta,Deluxe Double Room with Extra Bed,"3 beds (2 singles, 1 extra-large double)",Very good,US$64,,8.5,77 reviews
25704,Iceman Room's Central,"Old Town , Bolzano",Double Room with Shower,1 large double bed,Review score,US$73,,5.6,"1,521 reviews"
25705,Zaccardi Roof Garden,"Portuense, Rome",Single Room,1 single bed,Review score,US$52,,6.7,391 reviews
25706,Domo Silvia E Paolo,Nuoro,Double or Twin Room with Shared Bathroom,Beds: 1 double or 2 singles,Exceptional,US$48,,9.7,65 reviews
25707,Blue Sea,Posada,Double Room with Private Bathroom,1 double bed,Superb,US$53,,9.4,165 reviews
25708,Il Torrino,Galatina,Deluxe Twin Room,2 single beds,Very good,US$52,,8.3,120 reviews
25709,Km 119,Modugno,Double Room with Private Bathroom,1 double bed,Good,US$41,,7.1,103 reviews
25710,About Italy Holiday Rooms and Apartments,Portovenere,Double Room,1 large double bed,Very good,US$86,Travel Sustainable Level 1,8.2,673 reviews
25711,Vista Mare Guest House,Civitanova Marche,Double Room with Sea View,"2 beds (1 double, 1 sofa bed)",Superb,US$55,,9.1,65 reviews
25712,Il Seminario,Alba,Single Room,1 single bed,Very good,US$53,,8.5,551 reviews
25713,Abraxia Guest House,Comiso,Deluxe Single Room,1 single bed,Very good,US$45,,8.4,92 reviews
25714,Foresteria Crotasc,Mese,Double Room,1 large double bed,Superb,US$128,,9.4,102 reviews
25715,Bottega Orafa Guest House,"Plebiscito, Naples",Quadruple Room,"2 beds (1 double, 1 extra-large double)",Fabulous,US$77,,8.7,85 reviews
25716,Tiber Rooms Testaccio,"Aventino, Rome",Double Room with Private Bathroom,1 large double bed,Superb,US$95,Travel Sustainable Level 1,9.2,97 reviews
25717,Carducci 49,"Old Town, Mantova",Deluxe Room,1 large double bed,Very good,US$62,,8.3,323 reviews
25718,KayDee GuestHouse,"Central Station, Rome",Comfort Room,1 double bed,Good,US$48,,7.3,297 reviews
25719,Affittacamere Dal Falco,Pienza,Single Room,1 single bed,Very good,US$59,,8.5,291 reviews
25720,Sweet Home Faleria,"San Giovanni, Rome",Deluxe Double Room,"2 beds (1 sofa bed, 1 large double)",Fabulous,US$100,,8.8,122 reviews
25721,BeachFront Rooms Marina di Ragusa,Marina di Ragusa,Family Room with Private Bathroom,"3 beds (2 singles, 1 double)",Very good,US$53,,8.5,284 reviews
25722,Ai Giudici,"La Kalsa, Palermo",Double Room with Private Bathroom,1 large double bed,Superb,US$61,,9.0,43 reviews
25723,Royal Palace Gate,San Nicola La Strada,Quadruple Room with Private Bathroom,"3 beds (2 singles, 1 large double)",Review score,US$36,,6.8,63 reviews
25724,Gattini33,Matera,Deluxe Room,1 large double bed,Superb,US$53,,9.0,338 reviews
25725,Guest House Service - Express Airport Apartment,Modugno,Comfort Triple Room,Multiple bed types,Good,US$58,Travel Sustainable Level 1,7.6,152 reviews
25726,The Boutique Napoli Suite,"Plebiscito, Naples",Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,643 reviews
25727,Kleine,Gressoney-Saint-Jean,Quadruple Room with Private Bathroom,"2 beds (1 bunk bed, 1 large double)",Good,US$107,,7.7,191 reviews
25728,La Pergola,Vezzano Ligure,Single Room with Shared Bathroom,1 single bed,Very good,US$42,Travel Sustainable Level 1,8.1,493 reviews
25729,Ai Senatori,"Vaticano Prati, Rome",Deluxe Triple Room,"2 beds (1 sofa bed, 1 large double)",Very good,US$128,,8.2,135 reviews
25730,Il Carro Comfortable Rooms,San Giovanni Gemini,Twin Room with Balcony,2 single beds,Exceptional,US$59,,9.5,51 reviews
25731,Dimora San Gregorio Luxury Rooms,"Monte di Pietà, Palermo",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Exceptional,US$74,,10.0,4 reviews
25732,CAVOUR BARI CENTRO _ BRAND CITY LIFE _,"Bari City Centre, Bari",Standard Double Room with Shared Bathroom,1 large double bed,Review score,US$34,,6.5,161 reviews
25733,Guest House Foligno Porta Romana,Foligno,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 645.8feet²2 large double beds,Superb,US$96,,9.2,233 reviews
25734,La Rocca Guest House & Spa,Montefalco,Double Room,1 large double bed,Fabulous,US$91,Travel Sustainable Level 1,8.9,187 reviews
25735,Elite 19,La Spezia,Double Room with Balcony,1 large double bed,Superb,US$66,,9.3,363 reviews
25736,La Torre dei Salterelli,"Uffizi, Florence",Standard Double Room,1 large double bed,Very good,US$131,,8.5,499 reviews
25737,SIGIS RESIDENCE Fiumicino,Fiumicino,Single Room,1 single bed,Fabulous,US$64,,8.7,379 reviews
25738,Affittacamere Mazzini 78,Grosseto,Single Room,1 single bed,Very good,US$63,,8.3,371 reviews
25739,La residenza del viale,Treviglio,Twin Room,2 single beds,,US$75,,,
25740,Residence Olbia,Olbia,Triple Room,"2 beds (1 single, 1 large double)",Fabulous,US$85,,8.6,359 reviews
25741,My Rhome Prati,"Vaticano Prati, Rome",Deluxe Triple Room,"2 beds (1 single, 1 large double)",Fabulous,US$103,,8.8,187 reviews
25742,The Inn at the Spanish Steps,"Spagna, Rome",One-Bedroom Apartment-Via delle Carrozze 25,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 430.6feet²1 large double bed,Very good,US$283,,8.2,261 reviews
25743,Civico36,Passignano sul Trasimeno,King Room with Lake View,"2 beds (1 single, 1 large double)",Good,US$75,,7.8,281 reviews
25744,The Couper Colonna,"Pantheon, Rome",Deluxe Double Room,1 large double bed,Fabulous,US$226,,8.6,703 reviews
25745,Palazzo Castiglioni Luxury Suites,"Old Town, Mantova",Suite,Private suite1 large double bed,Superb,US$277,,9.3,130 reviews
25746,Maliziusella,"Port of Naples, Naples",Double Room,1 large double bed,Good,US$85,,7.8,300 reviews
25747,Grand Central Room,"Saragozza, Bologna",Standard Double Room,1 large double bed,Fabulous,US$110,,8.7,716 reviews
25748,Guest House Biffi Simone,"Santa Croce, Florence",Double Room with Private Bathroom,2 single beds,Fabulous,US$86,,8.9,215 reviews
25749,Casa D'amore,Riomaggiore,Family Room with Private Bathroom,"3 beds (2 sofa beds, 1 large double)",Very good,US$192,,8.3,153 reviews
25750,La Bella Verona Ugolini,"Verona Historical Centre, Verona",Standard Double Room,1 large double bed,Superb,US$147,,9.0,362 reviews
25751,Aparthotel San Gregorio 45,"Stazione Centrale, Milan",Deluxe Double Room with Balcony,1 large double bed,Very good,US$128,,8.3,"1,337 reviews"
25752,Colonna 32,"Vaticano Prati, Rome",Superior Double Room,Beds: 1 double or 2 singles,Fabulous,US$227,,8.9,411 reviews
25753,Palco Noir!,"Castellammare Vucciria, Palermo",Deluxe Junior Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 366feet²2 beds (1 sofa bed, 1 large double)",Superb,US$183,,9.4,118 reviews
25754,Palermo Gallery,"Ruggero Settimo, Palermo",Double Room,1 extra-large double bed,Superb,US$103,,9.0,537 reviews
25755,Blunotte Potenza,Potenza,Double Room with Private Bathroom,1 large double bed,Fabulous,US$53,,8.9,272 reviews
25756,Al Piccolo Scoglio - Room & Breakfast,Camogli,Double Room,1 extra-large double bed,Fabulous,US$90,,8.8,336 reviews
25757,DIMORA AL SARACENO,"Ferrara Old Town, Ferrara",Double Room with Private Bathroom,"2 beds (1 sofa bed, 1 large double)",Superb,US$64,,9.4,324 reviews
25758,Rental rooms Antonella,Tavullia,Family Room with Private Bathroom,"3 beds (2 singles, 1 extra-large double)",Very good,US$94,,8.3,180 reviews
25759,Estay Stampace,Cagliari,Double Room with Private Bathroom,1 double bed,Good,US$58,,7.4,28 reviews
25760,My Rhome Prati,"Vaticano Prati, Rome",Deluxe Triple Room,"2 beds (1 single, 1 large double)",Fabulous,US$103,,8.8,187 reviews
25761,Sardinia for you,Oristano,Deluxe Double Room with Balcony,1 large double bed,Fabulous,US$69,,8.7,186 reviews
25762,The Inn at the Spanish Steps,"Spagna, Rome",One-Bedroom Apartment-Via delle Carrozze 25,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 430.6feet²1 large double bed,Very good,US$283,,8.2,261 reviews
25763,Civico36,Passignano sul Trasimeno,King Room with Lake View,"2 beds (1 single, 1 large double)",Good,US$75,,7.8,281 reviews
25764,The Couper Colonna,"Pantheon, Rome",Deluxe Double Room,1 large double bed,Fabulous,US$226,,8.6,703 reviews
25765,Palazzo Castiglioni Luxury Suites,"Old Town, Mantova",Suite,Private suite1 large double bed,Superb,US$277,,9.3,130 reviews
25766,Maliziusella,"Port of Naples, Naples",Double Room,1 large double bed,Good,US$85,,7.8,300 reviews
25767,Grand Central Room,"Saragozza, Bologna",Standard Double Room,1 large double bed,Fabulous,US$110,,8.7,716 reviews
25768,Guest House Biffi Simone,"Santa Croce, Florence",Double Room with Private Bathroom,2 single beds,Fabulous,US$86,,8.9,215 reviews
25769,Casa D'amore,Riomaggiore,Family Room with Private Bathroom,"3 beds (2 sofa beds, 1 large double)",Very good,US$192,,8.3,153 reviews
25770,Palazzo Panzani,"San Lorenzo, Florence",Standard Single Room with Shared Bathroom,1 single bed,Review score,US$37,,6.4,127 reviews
25771,La Bella Verona Ugolini,"Verona Historical Centre, Verona",Standard Double Room,1 large double bed,Superb,US$147,,9.0,362 reviews
25772,Aparthotel San Gregorio 45,"Stazione Centrale, Milan",Deluxe Double Room with Balcony,1 large double bed,Very good,US$128,,8.3,"1,337 reviews"
25773,Colonna 32,"Vaticano Prati, Rome",Superior Double Room,Beds: 1 double or 2 singles,Fabulous,US$227,,8.9,411 reviews
25774,Palco Noir!,"Castellammare Vucciria, Palermo",Deluxe Junior Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 366feet²2 beds (1 sofa bed, 1 large double)",Superb,US$183,,9.4,118 reviews
25775,Palermo Gallery,"Ruggero Settimo, Palermo",Double Room,1 extra-large double bed,Superb,US$103,,9.0,537 reviews
25776,Blunotte Potenza,Potenza,Double Room with Private Bathroom,1 large double bed,Fabulous,US$53,,8.9,272 reviews
25777,Al Piccolo Scoglio - Room & Breakfast,Camogli,Double Room,1 extra-large double bed,Fabulous,US$90,,8.8,336 reviews
25778,DIMORA AL SARACENO,"Ferrara Old Town, Ferrara",Double Room with Private Bathroom,"2 beds (1 sofa bed, 1 large double)",Superb,US$64,,9.4,324 reviews
25779,Rental rooms Antonella,Tavullia,Triple Room with Private Bathroom,"2 beds (1 single, 1 large double)",Very good,US$94,,8.3,180 reviews
25780,Estay Stampace,Cagliari,Double Room with Private Bathroom,1 double bed,Good,US$58,,7.4,28 reviews
25781,PALAZZO FULGHER,Cagliari,Triple Room,"2 beds (1 single, 1 large double)",Superb,US$91,,9.0,283 reviews
25782,LHG Comfy Rooms,"Via Veneto, Rome",Economy Double Room,1 large double bed,Good,US$94,,7.9,858 reviews
25783,Residenza CuordiVerona,"Verona Historical Centre, Verona",Double Room,1 large double bed,Fabulous,US$96,,8.8,356 reviews
25784,Casa vacanze alle Mura,Cividale del Friuli,Quadruple Room with Terrace,"2 beds (1 extra-large double, 1 bunk bed)",Exceptional,US$128,,9.6,162 reviews
25785,Alehouse,Sorrento,Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,290 reviews
25786,Casa Le Piane,Strettura,Double Room with Private Bathroom,1 double bed,Very good,US$30,,8.0,24 reviews
25787,DOMY'S GUEST HOUSE,"Porta al Prato, Florence",Family Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 344.4feet²2 beds (1 double, 1 sofa bed)",Good,US$55,,7.4,372 reviews
25788,Domus Napoleone,"Central Station, Rome",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Good,US$115,,7.9,176 reviews
25789,Residenza Due Torri check in presso HOTEL CENTRALE Vicolo Cattani 7,"Piazza Maggiore, Bologna",Quadruple Room,Multiple bed types,Good,US$142,,7.8,400 reviews
25790,Masoun dou Caro,Pont-Saint-Martin,Deluxe Double or Twin Room,1 large double bed,Superb,US$96,,9.3,171 reviews
25791,Palà Suites,"Naples Historical Centre, Naples",Junior Suite with Balcony,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 602.8feet²4 beds (2 sofa beds, 2 large doubles)",Superb,US$137,,9.1,426 reviews
25792,Elite 19,La Spezia,Double Room with Balcony,1 large double bed,Superb,US$66,,9.3,363 reviews
25793,La Torre dei Salterelli,"Uffizi, Florence",Standard Double Room,1 large double bed,Very good,US$131,,8.5,499 reviews
25794,SIGIS RESIDENCE Fiumicino,Fiumicino,Single Room,1 single bed,Fabulous,US$64,,8.7,379 reviews
25795,Affittacamere Mazzini 78,Grosseto,Single Room,1 single bed,Very good,US$63,,8.3,371 reviews
25796,La residenza del viale,Treviglio,Twin Room,2 single beds,,US$75,,,
25797,Residence Olbia,Olbia,Triple Room,"2 beds (1 single, 1 large double)",Fabulous,US$85,,8.6,359 reviews
25798,My Rhome Prati,"Vaticano Prati, Rome",Deluxe Triple Room,"2 beds (1 single, 1 large double)",Fabulous,US$103,,8.8,187 reviews
25799,Sardinia for you,Oristano,Deluxe Double Room with Balcony,1 large double bed,Fabulous,US$69,,8.7,186 reviews
25800,Civico36,Passignano sul Trasimeno,King Room with Lake View,"2 beds (1 single, 1 large double)",Good,US$75,,7.8,281 reviews
25801,The Couper Colonna,"Pantheon, Rome",Deluxe Double Room,1 large double bed,Fabulous,US$226,,8.6,703 reviews
25802,Palazzo Castiglioni Luxury Suites,"Old Town, Mantova",Suite,Private suite1 large double bed,Superb,US$277,,9.3,130 reviews
25803,Maliziusella,"Port of Naples, Naples",Double Room,1 large double bed,Good,US$85,,7.8,300 reviews
25804,Grand Central Room,"Saragozza, Bologna",Standard Double Room,1 large double bed,Fabulous,US$110,,8.7,716 reviews
25805,Guest House Biffi Simone,"Santa Croce, Florence",Double Room with Private Bathroom,2 single beds,Fabulous,US$86,,8.9,215 reviews
25806,Casa D'amore,Riomaggiore,Family Room with Private Bathroom,"3 beds (2 sofa beds, 1 large double)",Very good,US$192,,8.3,153 reviews
25807,Palazzo Panzani,"San Lorenzo, Florence",Standard Single Room with Shared Bathroom,1 single bed,Review score,US$37,,6.4,127 reviews
25808,Aparthotel San Gregorio 45,"Stazione Centrale, Milan",Deluxe Double Room with Balcony,1 large double bed,Very good,US$128,,8.3,"1,337 reviews"
25809,Colonna 32,"Vaticano Prati, Rome",Superior Double Room,Beds: 1 double or 2 singles,Fabulous,US$227,,8.9,411 reviews
25810,Palco Noir!,"Castellammare Vucciria, Palermo",Deluxe Junior Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 366feet²2 beds (1 sofa bed, 1 large double)",Superb,US$183,,9.4,118 reviews
25811,Palermo Gallery,"Ruggero Settimo, Palermo",Double Room,1 extra-large double bed,Superb,US$103,,9.0,537 reviews
25812,Al Piccolo Scoglio - Room & Breakfast,Camogli,Double Room,1 extra-large double bed,Fabulous,US$90,,8.8,336 reviews
25813,DIMORA AL SARACENO,"Ferrara Old Town, Ferrara",Double Room with Private Bathroom,"2 beds (1 sofa bed, 1 large double)",Superb,US$64,,9.4,324 reviews
25814,Rental rooms Antonella,Tavullia,Triple Room with Private Bathroom,"2 beds (1 single, 1 large double)",Very good,US$94,,8.3,180 reviews
25815,Estay Stampace,Cagliari,Double Room with Private Bathroom,1 double bed,Good,US$58,,7.4,28 reviews
25816,PALAZZO FULGHER,Cagliari,Triple Room,"2 beds (1 single, 1 large double)",Superb,US$91,,9.0,283 reviews
25817,LHG Comfy Rooms,"Via Veneto, Rome",Economy Double Room,1 large double bed,Good,US$94,,7.9,858 reviews
25818,Residenza CuordiVerona,"Verona Historical Centre, Verona",Double Room,1 large double bed,Fabulous,US$96,,8.8,356 reviews
25819,Casa vacanze alle Mura,Cividale del Friuli,Quadruple Room with Terrace,"2 beds (1 extra-large double, 1 bunk bed)",Exceptional,US$128,,9.6,162 reviews
25820,Alehouse,Sorrento,Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,290 reviews
25821,Casa Le Piane,Strettura,Double Room with Private Bathroom,1 double bed,Very good,US$30,,8.0,24 reviews
25822,DOMY'S GUEST HOUSE,"Porta al Prato, Florence",Family Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 344.4feet²2 beds (1 double, 1 sofa bed)",Good,US$55,,7.4,372 reviews
25823,Domus Napoleone,"Central Station, Rome",Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Good,US$115,,7.9,176 reviews
25824,Residenza Due Torri check in presso HOTEL CENTRALE Vicolo Cattani 7,"Piazza Maggiore, Bologna",Quadruple Room,Multiple bed types,Good,US$142,,7.8,400 reviews
25825,ANTICA VILLA - Guest House & Hammam - Servizi come un Hotel a Cuneo,Cuneo,Double Room,1 large double bed,Fabulous,US$78,,8.8,491 reviews
25826,Agula Relais camera matrimoniale,Pugnano,Double Room,1 large double bed,Very good,US$41,,8.1,92 reviews
25827,ForliHouse,Forlì,Quadruple Room with Private Bathroom,"7 beds (3 singles, 4 doubles)",Very good,US$84,,8.3,3 reviews
25828,Palazzo Mulada,Frattamaggiore,Single Room,"2 beds (1 single, 1 extra-large double)",Very good,US$60,,8.5,288 reviews
25829,Blue Velvet Rooms,Tortolì,Double Room with Patio,1 large double bed,Exceptional,US$66,,9.5,187 reviews
25830,Serendipity Rooms,"Milan City Centre, Milan",Junior Suite,Private suite1 large double bed,Very good,US$295,,8.5,"1,102 reviews"
25831,Vatican Luxury Home,"Vaticano Prati, Rome",Double Room,1 extra-large double bed,Very good,US$94,,8.1,290 reviews
25832,Casa Garibaldi,Pontremoli,Double Room,"2 beds (1 single, 1 large double)",Superb,US$58,,9.1,37 reviews
25833,Affittacamere Stelvio,Sondrio,Double or Twin Room,2 single beds,Very good,US$48,,8.5,187 reviews
25834,Il Verrocchio,"San Marco - Santissima Annunziata, Florence",Double or Twin Room,Beds: 1 double or 2 singles,Good,US$49,,7.7,969 reviews
25835,Affittacamere Casa Quisquina,Santo Stefano Quisquina,Twin Room,2 single beds,Superb,US$53,,9.2,149 reviews
25836,Le Scale Sul Barocco,"Ragusa Ibla, Ragusa",Double Room with Terrace,1 large double bed,Very good,US$52,,8.5,452 reviews
25837,Dreaming in Rome - Vittorio Veneto Guest House,"Via Veneto, Rome",Triple Room,"2 beds (1 sofa bed, 1 large double)",Fabulous,US$83,,8.9,257 reviews
25838,LA CASCINA DEL VIAGGIATORE,Pianola,Twin Room with Private Bathroom,2 single beds,Very good,US$55,,8.5,227 reviews
25839,Pantheon Unique Rooms,"Pantheon, Rome",Deluxe Room,"2 beds (1 single, 1 large double)",Superb,US$181,,9.0,179 reviews
25840,B&B Al Centro Storico,Barletta,Double Room,1 large double bed,Fabulous,US$48,,8.8,250 reviews
25841,Dimora Tre Cancelli,Tricarico,Double Room,1 large double bed,Good,US$53,,7.6,94 reviews
25842,Babuccio Art Inn,"Trevi, Rome",Deluxe Double Room,1 extra-large double bed,Good,US$94,,7.3,102 reviews
25843,Suitedream Vatican,"Vaticano Prati, Rome",Double Room with Balcony,1 large double bed,Good,US$79,,7.9,45 reviews
25844,Villa Mezzacollina,Battifolle,Suite,"Private suite • 1 bedroom • 1 living room • 2 bathrooms • 861.1feet²2 beds (1 single, 1 large double)",Fabulous,US$86,,8.9,47 reviews
25845,Yes I Know My Room,"Naples Historical Centre, Naples",Double Room with Private Bathroom,1 large double bed,Superb,US$59,,9.1,27 reviews
25846,Residenza Ognissanti,"Santa Maria Novella, Florence",Quadruple Room,"2 beds (1 extra-large double, 1 sofa bed)",Very good,US$130,,8.4,562 reviews
25847,Blue Inn Luxury Suites,"Via Veneto, Rome",Double Room with Balcony,1 extra-large double bed,Fabulous,US$117,,8.8,351 reviews
25848,Il Casale Relais,San Giuliano Terme,Comfort Double Room,1 large double bed,Fabulous,US$91,,8.6,205 reviews
25849,Alloggio Le Casette,"Verona Historical Centre, Verona",Double Room,1 double bed,Good,US$77,,7.9,314 reviews
25850,Charme Rooms,Taranto,Deluxe Double or Twin Room,"2 beds (1 single, 1 extra-large double)",Very good,US$59,,8.3,281 reviews
25851,Ca' dei Proverbi Suites,"Cannaregio, Venice",Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 430.6feet²3 beds (2 sofa beds, 1 large double)",Superb,US$192,,9.3,426 reviews
25852,Residenza Frenguelli,Spello,Single Room,1 single bed,Fabulous,US$53,,8.7,508 reviews
25853,L'Imperiale RomaTrastevere,"Gianicolense, Rome",Double Room with Private Bathroom,1 large double bed,Good,US$86,,7.9,242 reviews
25854,Napoleone Luxury Home roma,"Central Station, Rome",Triple Room,"2 beds (1 single, 1 extra-large double)",Very good,US$85,,8.0,584 reviews
25855,Halex room&food,Nettuno,Budget Twin Room,2 single beds,Very good,US$75,,8.5,213 reviews
25856,Guest House Masterintrastevere,"Portuense, Rome",Double Room,1 extra-large double bed,Superb,US$107,,9.0,211 reviews
25857,Battisti 56,Porto SantʼElpidio,Double Room,1 large double bed,Superb,US$62,,9.0,148 reviews
25858,Miramed rooms,Termoli,Budget Double Room,1 double bed,Superb,US$43,,9.0,363 reviews
25859,Siberia Rooms,"Porta Nuova, Verona",Single Room with Private Bathroom,1 single bed,Fabulous,US$53,,8.7,341 reviews
25860,ANTICA VILLA - Guest House & Hammam - Servizi come un Hotel a Cuneo,Cuneo,Double Room,1 large double bed,Fabulous,US$78,,8.8,491 reviews
25861,Agula Relais camera matrimoniale,Pugnano,Double Room,1 large double bed,Very good,US$41,,8.1,92 reviews
25862,ForliHouse,Forlì,Quadruple Room with Private Bathroom,"7 beds (3 singles, 4 doubles)",Very good,US$84,,8.3,3 reviews
25863,Palazzo Mulada,Frattamaggiore,Single Room,"2 beds (1 single, 1 extra-large double)",Very good,US$60,,8.5,288 reviews
25864,Blue Velvet Rooms,Tortolì,Double Room with Patio,1 large double bed,Exceptional,US$66,,9.5,187 reviews
